datetime,x,y,seq,village
20200117 15:14,121.1168,24.9382,1395,楊梅區瑞原里
20200117 15:14,121.1175,24.9414,1396,楊梅區上田里
20200117 15:16,121.2008,24.9914,1398,中壢區芝芭里
20200117 15:16,121.1962,24.9946,1400,中壢區芝芭里
20200117 15:16,121.1804,24.9787,1402,中壢區內厝里
20200117 15:16,121.2147,25.0125,1403,中壢區青埔里
20200117 15:16,121.1931,24.9916,1404,中壢區內厝里
20200117 15:16,121.1960,24.9939,1405,中壢區芝芭里
20200117 15:17,121.2148,25.0125,1406,中壢區青埔里
20200117 15:21,121.2312,25.0202,1424,大園區五權里
20200117 15:25,121.3554,25.0299,1429,龜山區楓樹里
20200117 15:27,121.3908,25.0106,1432,龜山區龍壽里
20200117 15:27,121.4139,25.0037,1433,樹林區光興里
20200117 15:28,121.4299,25.0043,1435,樹林區圳安里
20200117 15:28,121.4254,25.0009,1436,樹林區文林里
20200117 15:29,121.4473,25.0054,1437,板橋區浮洲里
20200117 15:30,121.4648,25.0141,1440,板橋區新民里
20200117 15:34,121.5167,25.0487,1466,中正區黎明里
20200117 15:49,121.5194,25.0482,1507,中山區民安里
20200117 16:12,121.5175,25.0507,1577,大同區建明里
20200117 16:16,121.5202,25.0501,1586,中山區民安里
20200117 16:16,121.5183,25.0530,1589,大同區光能里
20200117 16:17,121.5240,25.0473,1590,中正區梅花里
20200117 16:17,121.5208,25.0480,1591,中山區民安里
20200117 16:18,121.5242,25.0492,1599,中山區正得里
20200117 16:21,121.5328,25.0482,1601,中山區興亞里
20200117 16:21,121.5256,25.0488,1606,中山區正守里
20200117 16:23,121.5346,25.0483,1614,中山區朱園里
20200117 16:25,121.5369,25.0488,1618,中山區朱園里
20200117 16:29,121.5369,25.0469,1633,中山區朱園里
20200117 16:31,121.5379,25.0462,1643,中山區朱崙里
20200117 16:32,121.5403,25.0467,1644,中山區埤頭里
20200117 16:34,121.5451,25.0450,1645,松山區中崙里
20200117 16:35,121.5470,25.0449,1659,大安區光武里
20200117 16:37,121.5628,25.0449,1665,信義區新仁里
20200117 16:37,121.5595,25.0451,1666,信義區新仁里
20200117 16:40,121.5716,25.0517,1669,松山區慈祐里
20200117 16:40,121.5694,25.0491,1670,松山區慈祐里
20200117 16:42,121.5910,25.0617,1674,內湖區石潭里
20200117 16:42,121.5886,25.0610,1675,內湖區石潭里
20200117 16:42,121.5948,25.0634,1679,內湖區石潭里
20200117 16:42,121.5910,25.0617,1681,內湖區石潭里
20200117 16:42,121.5886,25.0610,1683,內湖區石潭里
20200117 16:45,121.6193,25.0614,1685,南港區三重里
20200117 16:45,121.6108,25.0608,1686,南港區三重里
20200117 16:45,121.6144,25.0606,1691,南港區三重里
20200117 16:45,121.6193,25.0614,1692,南港區三重里
20200117 16:46,121.6222,25.0578,1694,南港區三重里
20200117 16:46,121.6202,25.0604,1697,南港區三重里
20200117 16:47,121.6225,25.0568,1698,南港區三重里
20200117 16:47,121.6239,25.0547,1699,汐止區橫科里
20200117 16:47,121.6231,25.0468,1700,汐止區福山里
20200117 16:47,121.6225,25.0568,1701,南港區三重里
20200117 16:47,121.6242,25.0546,1702,汐止區橫科里
20200117 16:47,121.6239,25.0480,1704,汐止區橫科里
20200117 16:47,121.6225,25.0568,1705,南港區三重里
20200117 16:50,121.6436,25.0121,1708,石碇區隆盛里
20200117 16:50,121.6301,25.0330,1709,南港區舊莊里
20200117 17:00,121.7092,24.9459,1717,坪林區坪林里
20200117 17:00,121.6966,24.9514,1718,坪林區上德里
20200117 17:00,121.7033,24.9454,1720,坪林區坪林里
